language_code,word_text,part_of_speech,concept_slug,gloss,is_primary,equivalence_type,sense_rank,external_sense_id,external_synset_id,source_slug,source_locator,confidence,review_status
en,light,noun,illumination,light or illumination,true,canonical,1,,,vertical-slice-demo,demo:en:light:illumination,medium,reviewed
la,lux,noun,illumination,light,true,direct_equivalent,1,,,vertical-slice-demo,demo:la:lux:illumination,medium,reviewed
el,φῶς,noun,illumination,light,true,direct_equivalent,1,,,vertical-slice-demo,demo:el:phos:illumination,medium,reviewed
ar,نور,noun,illumination,light,true,direct_equivalent,1,,,vertical-slice-demo,demo:ar:nur:illumination,medium,reviewed
ja,光,noun,illumination,light,true,direct_equivalent,1,,,vertical-slice-demo,demo:ja:hikari:illumination,medium,reviewed
en,dawn,noun,dawn,dawn or sunrise,true,canonical,1,,,vertical-slice-demo,demo:en:dawn:dawn,medium,reviewed
en,sun,noun,sun,the sun,true,canonical,1,,,vertical-slice-demo,demo:en:sun:sun,medium,reviewed
en,moon,noun,moon,the moon,true,canonical,1,,,vertical-slice-demo,demo:en:moon:moon,medium,reviewed
en,star,noun,star,a star,true,canonical,1,,,vertical-slice-demo,demo:en:star:star,medium,reviewed
en,sky,noun,sky,the sky,true,canonical,1,,,vertical-slice-demo,demo:en:sky:sky,medium,reviewed
en,sea,noun,sea,the sea,true,canonical,1,,,vertical-slice-demo,demo:en:sea:sea,medium,reviewed
en,forest,noun,forest,a forest,true,canonical,1,,,vertical-slice-demo,demo:en:forest:forest,medium,reviewed
en,fire,noun,fire,fire,true,canonical,1,,,vertical-slice-demo,demo:en:fire:fire,medium,reviewed
en,wind,noun,wind,wind,true,canonical,1,,,vertical-slice-demo,demo:en:wind:wind,medium,reviewed
en,courage,noun,courage,courage,true,canonical,1,,,vertical-slice-demo,demo:en:courage:courage,medium,reviewed
en,wisdom,noun,wisdom,wisdom,true,canonical,1,,,vertical-slice-demo,demo:en:wisdom:wisdom,medium,reviewed
en,truth,noun,truth,truth,true,canonical,1,,,vertical-slice-demo,demo:en:truth:truth,medium,reviewed
en,freedom,noun,freedom,freedom,true,canonical,1,,,vertical-slice-demo,demo:en:freedom:freedom,medium,reviewed
en,bravery,noun,bravery,a quality of spirit that enables you to face danger or pain without showing fear,true,canonical,1,oewn-bravery__1.07.00..,oewn-04864314-n,oewn-2025,oewn-04864314-n#oewn-bravery__1.07.00..,high,reviewed
en,brightness,noun,brightness,the quality of being luminous; emitting or reflecting light,true,canonical,1,oewn-brightness__1.07.02..,oewn-05025269-n,oewn-2025,oewn-05025269-n#oewn-brightness__1.07.02..,high,reviewed
en,liberty,noun,liberty,immunity from arbitrary exercise of authority: political independence,true,canonical,1,oewn-liberty__1.26.01..,oewn-14015999-n,oewn-2025,oewn-14015999-n#oewn-liberty__1.26.01..,high,reviewed
en,ocean,noun,ocean,a large body of water constituting a principal part of the hydrosphere,true,canonical,1,oewn-ocean__1.17.00..,oewn-09399110-n,oewn-2025,oewn-09399110-n#oewn-ocean__1.17.00..,high,reviewed
en,radiance,noun,radiance,the quality of being bright and sending out rays of light,true,canonical,1,oewn-radiance__1.07.00..,oewn-04961131-n,oewn-2025,oewn-04961131-n#oewn-radiance__1.07.00..,high,reviewed
